time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-05T13:01:58.100Z,19.5116667,-155.6623333,3.9,2.31,ml,15,99,0.03405,0.09,hv,hv71262926,2019-12-05T22:05:22.290Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.44,0.78,0.187,22,reviewed,hv,hv
2019-12-05T07:50:18.770Z,19.5181667,-155.6645,4.38,2.27,ml,14,87,0.02994,0.09,hv,hv71262586,2019-12-05T22:01:20.200Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.45,0.69,0.257,15,reviewed,hv,hv
2019-12-05T05:24:21.960Z,19.5196667,-155.6641667,4.08,2.13,ml,11,112,0.02861,0.07,hv,hv71262441,2019-12-05T21:52:28.190Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.45,0.71,0.085,9,reviewed,hv,hv
2019-12-05T04:22:19.940Z,19.5156667,-155.6641667,5.22,2.74,ml,19,79,0.03169,0.11,hv,hv71262386,2020-02-29T19:52:48.040Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.4,0.65,0.16,45,reviewed,hv,hv
2019-12-04T21:44:51.510Z,19.515,-155.6623333,3.67,2.06,ml,37,61,0.03124,0.13,hv,hv71261991,2019-12-05T00:17:23.820Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.47,0.142,7,reviewed,hv,hv
2019-12-03T23:58:27.150Z,19.5141667,-155.6618333,3.65,1.94,ml,39,74,0.03168,0.14,hv,hv71260816,2019-12-04T03:52:58.020Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.32,0.54,0.127,14,reviewed,hv,hv
2019-11-28T18:44:20.680Z,19.552,-155.6123333,6.13,1.03,md,14,179,0.03178,0.13,hv,hv71254561,2019-11-29T21:37:06.090Z,"28km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.82,0.62,0.152,8,reviewed,hv,hv
2019-11-28T15:04:29.270Z,19.5173333,-155.6655,4.98,2.48,ml,54,51,0.03118,0.13,hv,hv71254321,2020-02-19T18:58:18.040Z,"21km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.24,0.29,0.242,24,reviewed,hv,hv
2019-11-23T00:47:05.730Z,19.5401667,-155.596,5.98,2,ml,38,69,0.01897,0.11,hv,hv71247161,2019-11-25T22:11:39.090Z,"29km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.41,0.45,0.14,12,reviewed,hv,hv
2019-11-20T11:53:33.410Z,19.534,-155.6181667,6.88,2.2,ml,48,51,0.02542,0.13,hv,hv71243806,2019-11-22T21:02:25.860Z,"27km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.29,0.34,0.121,20,reviewed,hv,hv
2019-11-17T20:03:15.170Z,19.4801667,-155.6583333,3.3,2.14,ml,31,72,0.0483,0.11,hv,hv71239746,2019-11-19T00:25:58.440Z,"21km E of Honaunau-Napoopoo, Hawaii",earthquake,0.28,0.73,0.144,18,reviewed,hv,hv
2019-11-09T13:34:28.560Z,19.4203333,-155.63,0.29,2.73,ml,13,147,0.01764,0.08,hv,hv71223641,2020-02-01T23:22:10.040Z,"24km E of Honaunau-Napoopoo, Hawaii",earthquake,0.51,0.66,0.157,45,reviewed,hv,hv
2019-11-09T11:39:24.620Z,19.4278333,-155.622,0.27,2.74,ml,13,141,0.02551,0.08,hv,hv71223531,2020-02-01T23:22:10.040Z,"25km E of Honaunau-Napoopoo, Hawaii",earthquake,0.5,0.77,0.138,49,reviewed,hv,hv
